round,request,status,node,http_code,curl_rc,duration_ms,error
2,90,OK,idm2,200,0,203.361,
2,77,OK,idm2,200,0,325.673,
2,82,OK,idm2,200,0,291.089,
2,80,OK,idm2,200,0,303.226,
2,93,OK,idm2,200,0,191.704,
2,92,OK,idm2,200,0,203.342,
2,84,OK,idm2,200,0,297.058,
2,86,OK,idm2,200,0,289.34,
2,96,OK,idm2,200,0,148.081,
2,95,OK,idm2,200,0,156.375,
2,88,OK,idm2,200,0,285.115,
2,89,OK,idm2,200,0,284.606,
2,98,OK,idm2,200,0,122.92,
2,100,OK,idm2,200,0,99.868,
2,91,OK,idm2,200,0,263.174,
2,99,OK,idm2,200,0,122.626,
2,97,OK,idm2,200,0,182.197,
2,94,OK,idm2,200,0,241.754,
3,2,OK,idm2,200,0,111.246,
3,1,OK,idm2,200,0,109.516,
3,3,OK,idm2,200,0,70.313,
3,5,OK,idm2,200,0,140.269,
3,6,OK,idm2,200,0,116.758,
3,4,OK,idm2,200,0,69.114,
3,15,OK,idm2,200,0,156.949,
3,13,OK,idm2,200,0,163.839,
3,14,OK,idm2,200,0,179.518,
3,12,OK,idm2,200,0,190.171,
3,16,OK,idm2,200,0,175.255,
3,7,OK,idm2,200,0,234.393,
3,11,OK,idm2,200,0,238.024,
3,9,OK,idm2,200,0,255.877,
3,10,OK,idm2,200,0,265.139,
3,8,OK,idm2,200,0,288.374,
3,18,OK,idm2,200,0,230.092,
3,22,OK,idm2,200,0,201.304,
3,25,OK,idm2,200,0,179.666,
3,17,OK,idm2,200,0,236.538,
3,23,OK,idm2,200,0,251.176,
3,27,OK,idm2,200,0,198.599,
3,28,OK,idm2,200,0,200.456,
3,19,OK,idm2,200,0,325.187,
3,20,OK,idm2,200,0,318.776,
3,24,OK,idm2,200,0,283.528,
3,30,OK,idm2,200,0,184.535,
3,29,OK,idm2,200,0,199.942,
3,21,OK,idm2,200,0,321.494,
3,26,OK,idm2,200,0,275.304,
3,31,OK,idm2,200,0,203.595,
3,34,OK,idm2,200,0,216.053,
3,39,OK,idm2,200,0,177.566,
3,32,OK,idm2,200,0,266.957,
3,35,OK,idm2,200,0,222.051,
3,41,OK,idm2,200,0,212.694,
3,33,OK,idm2,200,0,320.654,
3,44,OK,idm2,200,0,194.339,
3,38,OK,idm2,200,0,294.647,
3,36,OK,idm2,200,0,309.439,
3,42,OK,idm2,200,0,210.52,
3,48,OK,idm2,200,0,203.211,
3,47,OK,idm2,200,0,217.725,
3,43,OK,idm2,200,0,247.377,
3,37,OK,idm2,200,0,352.86,
3,40,OK,idm2,200,0,350.693,
3,51,OK,idm2,200,0,244.562,
3,52,OK,idm2,200,0,202.117,
3,49,OK,idm2,200,0,273.327,
3,50,OK,idm2,200,0,286.115,
3,45,OK,idm2,200,0,309.329,
3,53,OK,idm2,200,0,231.273,
3,55,OK,idm2,200,0,242.985,
3,46,OK,idm2,200,0,361.43,
3,58,OK,idm2,200,0,223.008,
3,54,OK,idm2,200,0,327.685,
3,56,OK,idm2,200,0,250.457,
3,57,OK,idm2,200,0,253.004,
3,61,OK,idm2,200,0,266.726,
3,62,OK,idm2,200,0,310.159,
3,63,OK,idm2,200,0,307.569,
3,66,OK,idm2,200,0,277.102,
3,65,OK,idm2,200,0,286.887,
3,59,OK,idm2,200,0,398.98,
3,60,OK,idm2,200,0,398.79,
3,64,OK,idm2,200,0,359.664,
3,68,OK,idm2,200,0,357.118,
3,67,OK,idm2,200,0,365.783,
3,72,OK,idm2,200,0,326.401,
3,69,OK,idm2,200,0,362.107,
3,70,OK,idm2,200,0,374.122,
3,71,OK,idm2,200,0,374.228,
3,77,OK,idm2,200,0,343.182,
3,75,OK,idm2,200,0,361.479,
3,73,OK,idm2,200,0,457.095,
3,74,OK,idm2,200,0,447.981,
3,76,OK,idm2,200,0,405.357,
3,79,OK,idm2,200,0,370.06,
3,83,OK,idm2,200,0,297.485,
3,85,OK,idm2,200,0,313.338,
3,86,OK,idm2,200,0,317.271,
3,88,OK,idm2,200,0,298.657,
3,78,OK,idm2,200,0,507.084,
3,82,OK,idm2,200,0,421.713,
3,81,OK,idm2,200,0,444.287,
3,94,OK,idm2,200,0,224.578,
3,87,OK,idm2,200,0,368.425,
3,84,OK,idm2,200,0,412.478,
3,99,OK,idm2,200,0,178.547,
3,80,OK,idm2,200,0,497.534,
3,97,OK,idm2,200,0,204.764,
3,93,OK,idm2,200,0,268.073,
3,95,OK,idm2,200,0,240.139,
3,89,OK,idm2,200,0,411.608,
3,90,OK,idm2,200,0,404.674,
3,100,OK,idm2,200,0,148.839,
3,92,OK,idm2,200,0,378.156,
3,91,OK,idm2,200,0,384.137,
3,98,OK,idm2,200,0,227.275,
3,96,OK,idm2,200,0,252.454,
4,6,OK,idm2,200,0,99.052,
4,5,OK,idm2,200,0,93.217,
4,1,OK,idm2,200,0,96.796,
4,4,OK,idm2,200,0,139.861,
4,7,OK,idm2,200,0,128.38,
4,2,OK,idm2,200,0,112.576,
4,3,OK,idm2,200,0,94.56,
4,11,OK,idm2,200,0,197.942,
4,20,OK,idm2,200,0,151.92,
4,15,OK,idm2,200,0,172.396,
4,17,OK,idm2,200,0,174.464,
4,16,OK,idm2,200,0,182.294,
4,10,OK,idm2,200,0,239.553,
4,19,OK,idm2,200,0,193.989,
4,9,OK,idm2,200,0,259.293,
4,13,OK,idm2,200,0,254.673,
4,22,OK,idm2,200,0,190.29,
4,26,OK,idm2,200,0,187.036,
